자치구별(1),자치구별(2),시가화면적별(1),시가화면적별(2),2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울시,소계,행정구역면적 (㎢),소계,605.41,605.39,605.4,605.33,605.25,605.27,605.25,605.25,605.21,605.18,605.2,605.21,605.25,605.2,605.24,605.24,605.24
서울시,소계,시가화면적 현황,시가화면적 (㎢),354.13,355.77,357.56,358.19,358.66,361.13,361.5,362.51,363.13,363.23,366.13,365.63,370.99,371.2,371.2,371.5,371.54
서울시,소계,시가화면적 현황,시가화면적비율 (%),58.49,58.77,59.06,59.17,59.26,59.67,59.73,59.89,60,60.02,60.5,60.41,61.3,61.34,61.33,61.38,61.39
서울시,종로구,행정구역면적 (㎢),소계,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91
서울시,종로구,시가화면적 현황,시가화면적 (㎢),12.57,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.77,12.77,12.77,12.77,12.77
서울시,종로구,시가화면적 현황,시가화면적비율 (%),52.59,53.16,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.18,53.17,53.39,53.39,53.39,53.39,53.39
서울시,중구,행정구역면적 (㎢),소계,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96
서울시,중구,시가화면적 현황,시가화면적 (㎢),9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.94,9.95,9.95,9.95,9.95,9.95
서울시,중구,시가화면적 현황,시가화면적비율 (%),100.07,100.09,100.09,100.09,100.1,100.1,100.1,100.1,100.09,100.09,100.1,99.85,99.89,99.88,99.89,99.89,99.89
서울시,용산구,행정구역면적 (㎢),소계,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87
서울시,용산구,시가화면적 현황,시가화면적 (㎢),12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.92,12.92,12.92,12.92,12.92,13.37,13.37,13.37,13.37,13.37
서울시,용산구,시가화면적 현황,시가화면적비율 (%),58.8,58.81,58.79,58.8,58.8,58.8,58.8,59.08,59.07,59.07,59.07,59.07,61.14,61.14,61.14,61.14,61.14
서울시,성동구,행정구역면적 (㎢),소계,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.86,16.86,16.86,16.86,16.86,16.86
서울시,성동구,시가화면적 현황,시가화면적 (㎢),12.26,12.35,12.06,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.47,12.47,12.47,12.47,12.47
서울시,성동구,시가화면적 현황,시가화면적비율 (%),72.8,73.31,71.59,73.28,73.28,73.27,73.27,73.27,73.28,73.29,73.26,73.25,73.97,73.97,73.99,73.98,73.98
서울시,광진구,행정구역면적 (㎢),소계,17.05,17.05,17.06,17.05,17.05,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06
서울시,광진구,시가화면적 현황,시가화면적 (㎢),11.57,11.57,11.86,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.8,11.8,11.8,11.8,11.8
서울시,광진구,시가화면적 현황,시가화면적비율 (%),67.85,67.85,69.52,67.85,67.85,67.81,67.81,67.81,67.81,67.81,67.81,67.81,69.16,69.16,69.16,69.16,69.16
서울시,동대문구,행정구역면적 (㎢),소계,14.22,14.22,14.22,14.21,14.2,14.2,14.2,14.2,14.2,14.2,14.21,14.21,14.21,14.22,14.22,14.22,14.22
서울시,동대문구,시가화면적 현황,시가화면적 (㎢),14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,13.86,13.86,13.86,13.86,13.86
서울시,동대문구,시가화면적 현황,시가화면적비율 (%),99.18,99.18,99.19,99.2,99.28,99.29,99.29,99.29,99.28,99.28,99.22,99.22,97.53,97.52,97.52,97.52,97.52
서울시,중랑구,행정구역면적 (㎢),소계,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
서울시,중랑구,시가화면적 현황,시가화면적 (㎢),10.52,10.52,10.52,10.75,10.7,10.7,10.75,10.75,10.75,10.75,11.23,11.23,11.18,11.18,11.18,11.18,11.18
서울시,중랑구,시가화면적 현황,시가화면적비율 (%),56.85,56.85,56.83,58.1,57.83,57.83,58.11,58.11,58.11,58.11,60.71,60.72,60.44,60.44,60.44,60.44,60.44
