"연령별","교육정도별",2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"연령별","교육정도별",남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내,남편,아내
"20 - 24세","총계",24798,85675,21708,73536,18938,64851,16936,58407,16006,53364,14634,48273,14835,48865,13528,44386,11142,37333,9158,30673,9643,31969,9438,30519,9025,28478,9405,27723,9584,25877,9595,25499,8497,22907,7823,20336,6779,18632,5890,16182,4945,12516,4259,9985,4084,10113,3733,9588
"20 - 24세","초등학교",334,550,302,470,229,335,178,389,164,341,158,449,132,446,141,385,100,371,90,319,70,292,69,242,72,234,73,167,62,164,67,144,48,110,62,142,57,105,38,100,15,55,20,53,17,48,10,48
"20 - 24세","중학교",1846,2640,1582,2571,1311,2150,1203,2361,1078,2331,996,2949,919,3375,760,3245,670,2712,499,2245,564,2593,540,2143,544,1875,569,1702,579,1468,523,1310,478,1090,488,1031,373,927,351,784,283,538,222,371,233,463,195,455
"20 - 24세","고등학교",16694,53021,13977,43147,11936,36462,10104,31132,9256,27688,8372,24510,8404,24448,7570,21677,6148,17983,5102,14456,5432,14793,5380,13879,5339,12995,5608,12427,5766,11385,5815,11115,5200,10074,4786,9208,4180,8573,3595,7415,2964,5635,2578,4457,2332,4520,2219,4429
"20 - 24세","대학(교)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000,15232,3305,12940,3414,13582,3293,13641,2946,12866,3036,12994,3002,12359,2997,12387,2543,10858,2234,9087,1894,8000,1621,6763,1334,5290,1113,4256,1107,3993,973,3529
"20 - 24세","대학원 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,296,79,259,88,240,96,297,76,239,76,238,95,212,88,212,68,193,50,161,49,167,55,152,51,112,39,112,54,125,31,112
"25 - 29세","총계",162443,164228,146597,157536,133108,150767,123076,147710,112840,145447,108496,146469,114639,158008,116810,167601,107519,155981,97852,144037,96833,146240,93613,141801,84205,131809,78492,124486,69832,111707,67107,109287,60739,100275,57157,93697,55212,90434,50303,81675,46706,74241,41001,63584,37554,59006,34615,55693
"25 - 29세","초등학교",573,546,488,524,364,416,336,426,286,349,261,357,205,334,208,328,176,272,199,293,153,256,198,230,162,224,127,246,140,186,117,171,82,140,168,249,90,143,68,92,45,69,55,81,50,53,42,70
"25 - 29세","중학교",3268,2845,2706,2543,2126,2043,1693,1976,1404,1820,1392,1925,1350,2125,1417,2194,1287,2125,1179,1854,1285,1938,1096,1693,1129,1558,964,1488,795,1230,704,1124,618,1021,690,1104,624,995,522,817,475,619,446,508,381,473,354,514
"25 - 29세","고등학교",70346,73090,58901,63871,49142,54741,41144,47869,35108,43551,32326,42211,33494,44242,33077,44987,29563,39619,25721,33964,24563,32059,23476,29335,21083,25433,19042,21866,16591,18336,16128,17195,14667,15011,14242,14005,13992,13440,13031,12254,12349,10820,11170,9371,10363,9258,9572,8595
