Year,Average_Housing_Price_Index
2003,55.403212124999996
2004,55.13405489916667
2005,55.830956085
2006,61.361342449999995
2007,71.96084809666667
2008,80.802041005
2009,82.40573942583333
2010,83.87516022666667
2011,83.82848428416666
2012,81.86439548416666
2013,78.89683107500001
2014,79.2360868125
2015,81.3951900575
2016,83.93167967083333
2017,86.36803869750001
2018,91.42950280583334
2019,93.25084031333334
2020,96.00473762166666
2021,100.51146347333334
2022,102.72726741916667
2023,96.35047637000001
2024,97.545615567
