Year,Spouse_Type,Age_Group,Education_Level,Marriage_Count
2000,,20 - 24세,초등학교,334
2000,,20 - 24세,중학교,1846
2000,,20 - 24세,고등학교,16694
2000,,20 - 24세,대학(교),-
2000,,20 - 24세,대학원 이상,-
2000,,25 - 29세,초등학교,573
2000,,25 - 29세,중학교,3268
2000,,25 - 29세,고등학교,70346
2000,,25 - 29세,대학(교),-
2000,,25 - 29세,대학원 이상,-
2000,,30 - 34세,초등학교,875
2000,,30 - 34세,중학교,3252
2000,,30 - 34세,고등학교,36704
2000,,30 - 34세,대학(교),-
2000,,30 - 34세,대학원 이상,-
2000,,35 - 39세,초등학교,1455
2000,,35 - 39세,중학교,3471
2000,,35 - 39세,고등학교,12287
2000,,35 - 39세,대학(교),-
2000,,35 - 39세,대학원 이상,-
2000,,20 - 24세,초등학교,550
2000,,20 - 24세,중학교,2640
2000,,20 - 24세,고등학교,53021
2000,,20 - 24세,대학(교),-
2000,,20 - 24세,대학원 이상,-
2000,,25 - 29세,초등학교,546
2000,,25 - 29세,중학교,2845
2000,,25 - 29세,고등학교,73090
2000,,25 - 29세,대학(교),-
2000,,25 - 29세,대학원 이상,-
2000,,30 - 34세,초등학교,824
2000,,30 - 34세,중학교,2780
2000,,30 - 34세,고등학교,19504
2000,,30 - 34세,대학(교),-
2000,,30 - 34세,대학원 이상,-
2000,,35 - 39세,초등학교,1274
2000,,35 - 39세,중학교,3325
2000,,35 - 39세,고등학교,8833
2000,,35 - 39세,대학(교),-
2000,,35 - 39세,대학원 이상,-
2001,,20 - 24세,초등학교,302
2001,,20 - 24세,중학교,1582
2001,,20 - 24세,고등학교,13977
2001,,20 - 24세,대학(교),-
2001,,20 - 24세,대학원 이상,-
2001,,25 - 29세,초등학교,488
2001,,25 - 29세,중학교,2706
2001,,25 - 29세,고등학교,58901
2001,,25 - 29세,대학(교),-
2001,,25 - 29세,대학원 이상,-
2001,,30 - 34세,초등학교,616
2001,,30 - 34세,중학교,2809
2001,,30 - 34세,고등학교,35527
2001,,30 - 34세,대학(교),-
2001,,30 - 34세,대학원 이상,-
2001,,35 - 39세,초등학교,1177
2001,,35 - 39세,중학교,3080
2001,,35 - 39세,고등학교,12869
2001,,35 - 39세,대학(교),-
2001,,35 - 39세,대학원 이상,-
2001,,20 - 24세,초등학교,470
2001,,20 - 24세,중학교,2571
2001,,20 - 24세,고등학교,43147
2001,,20 - 24세,대학(교),-
2001,,20 - 24세,대학원 이상,-
2001,,25 - 29세,초등학교,524
2001,,25 - 29세,중학교,2543
